,text
3,https://t.co/CGgH6aqjUA
4,地元チェーン店に行ったらジャスコ風ようこそジャパリパークへが流れてた https://t.co/Qs31uOzi7g
7,"ミクちゃん10周年おめでとうございます🎂🎁🎉🍾💝#初音ミク10周年 #初音ミク生誕祭2017 https://t.co/eO0MPk8eWr"""
8,会社のビル近辺でネズミが出る問題、ビル内のイタリアンと隣の蕎麦屋の飲食店組が〝どっちからネズミが発生してるか〟で争ってるらしいんだけど、うちの社長の言った「まぁ〜〜俺がネズミなら昼は蕎麦で夜にイタリアンだな！！」がじわじわきてる
9,英人の同僚がご飯食べてたから、仏人にBon-appetitって英語でなんて言うの？って聞いたらおしゃべりクソフランス人が「直訳でHave a nice mealだけどイギリスにはnice mealなんて存在しねーからその言葉もねーよ笑」とか言ったせい…
10,日本大好きしょっちゅう行ってるって外国の監督や漫画家さんが、自作の日本風景をわけわからん中華ミックス都市にしたり変な謎漢字看板出したりしてて、コメンタリーとかで「違うのは分かってる！でもこういうエセ日本じゃないと受け入れないアホがいっぱいいるんだ！！…
11,"ミサイル発射の対応が早かった事について、菅官房長官「２年前の特定秘密保護法、マスコミから極めて評判の悪い法律だった。情報漏洩をした場合、日本は最大懲役１年で情報が来なかった。法律成立してから機微な情報が我国に入ってくるようになった」
メディア…"
13,完全に壊れた🤤明日から夏コミが開催
16,"夏休み始まる
夏休み終わる https://t.co/PdkMXboAyZ"
79,"ということで、2週間という怒涛のスケジュールの中、総走行距離5413kmの日本一周旅は無事最終目的地函館まで辿り着くことができました。
しかしレンタカーを返す際に予想外のアクシデント発生……!?（たっつー） https://t.co/YK8i…"
81,従業員同士の私語が気になると御意見を賜ること、全国のコンビニでよくあるんですが、「唐揚げ、いくつ揚げれば良いですか？」「この時間帯ですし、5つ揚げましょう」と業務連絡を交わしたら、「私語を慎め！」とお客様に激怒されたので、バリアフリーも兼ねて筆談…
112,"今回のミサイル発射に対する与党と野党の対応。6時半現在

野党は寝てんのか？
#非常時に備えを #ミサイル https://t.co/e6GYQv54X1"
113,タケシ&amp;カスミ再登場おめでとー！ https://t.co/1y8i9LYPhL
130,Jアラートで頑丈な建物に逃げ込めって言っても、頑丈な建物が無いってツイが回って来るけど、原爆にも耐えた銀行の堅牢さは「この世界の片隅で」で証明されてるから、とりあえず緊急時なら逃げ込む価値はあるんじゃないのだろうか…？ https://t.c…
131,お母さん「ツイッターに上げて」 https://t.co/uE1Fq1yD2y
132,"学習院大学のヤリサーが「書道部」なの、いかにも""""学習院大学""""っぽくて最高じゃないですか？
「皆さんごきげんよう、本日も筆を握らずに竿を握っていきましょう、おほほほ」みたいな慎ましい雰囲気でおっ始まるんですかね？"
165,"マギレコに興味のある方に向けてマギアレコードのシナリオモードにおける勢力図を描きました。(大嘘)
単にレズ角関係描きたかっただけです。 https://t.co/lx4cxJwKlV"
168,"同僚女性「ゆずソフト良いですよね」
私「はい！？」
同「私大好きなんですよ？ゆずソフト」
私「（おいおい、この人なに言ってるの？）」
同「あれ癖になりますよね？」
私「そんなに良いんですか？」
同「えぇ。あそこのソフトクリームは最高ですよ？」
私…"
174,函館にロケット落ちて道路一度吹き飛ばして綺麗に敷き直してくれ
175,「イリヤかサーバルちゃんがアラームで起こしてくれるはずだったのに、金正恩がミサイルで起こしやがった」はさすがに草
176,¥800で格闘ゲーム買ったらバグってた https://t.co/xCGGy4DQH8
177,【速報】対抗措置として安倍首相 発射 https://t.co/228uwi1nV9
178,バイキングの「官僚が下を向いた瞬間を切り取って『居眠りだ』と騒ぐ」手法がとても斬新だと思ったので、僕もバイキングの動画から出演者が同時にまばたきした瞬間を認識して出力し続けるプログラム書いてみました。切り取り報道ってやる側は楽しいんです…
179,NHKつけっぱなしにしてるんだけど札幌駅の中継で札幌駅のアナウンスの前の喚起音（ﾃｰ→ﾝﾃｰ↘ﾝﾃｰ↗ﾝ）を聞いて北海道に行きたくなった、訴訟
180,"毎度懲りずに「Jアラートは役に立たない」「鳴っても数分前で意味ない」と言う人がいますが、とりあえずこれを読んでみては。
対ミサイル攻撃訓練に疑問をお持ちの方も。
屋内避難だけでも大いに意味がありますし、市井の我々はデマに惑わされず、政府と共…"
182,"けもフレ最終巻、設定資料なのにこういう墨塗りをしてくるので
「SCPかよ……………………………………」ってなってる(とある箇所は墨塗りだらけ) https://t.co/oB4PQTeHrb"
225,お、通しですうか？そもそも今でしょ！TNTN☆勃↑起↓
226,案の定ニコ動のけもフレが「テレ東ありがとう」で埋まってる
227,"テレ東伝説に新たな1ページ
・日本上空をミサイルが横切った特番ニュースをきっかり切り上げてけもフレ最終回放映"
228,"日本「通勤時間にミサイル飛ばしやがった、あいつらイカれてやがる」

北朝鮮「ミサイル飛ばしても通勤して仕事してる...あいつらイカれてやがる...」"
229,"「クク・・・これはインドを3000倍にする薬だ・・」
（流れ出す陽気なBGM）（集まってくる人々）（全員でダンス）"
230,SNS系の退会画面で「もしかしたら○○さんが悲しむかも知れませんよ」「まだ○○さんがあなたを待っています！」みたいなリコメンドを出すの割と効果ありそう
231,「地下鉄に避難してください」とは言うけど対象地域で地下鉄が走ってるのが札幌と仙台しかないんだよなあ
232,けものフレンズ放送休止するかもしれないから15年前に録画したやつみるか... https://t.co/ZUlaAm6UTH
241,"◆北朝鮮ミサイルが日本を通過
①Jアラート発動←わかる
②安倍総理が遺憾←まあわかる
③来月も警戒が必要←わかる
④北朝鮮は激イキり←わかる
⑤""安全資産の日本円""買いが進む←わからん
https://t.co/K7pUuPHAeg"
242,テレ東、ＩＣＢＭが飛んてきて各局が報道する中でけものフレンズ最終話を予定どおり放映し、伝説となる https://t.co/naq4BkVtRU
243,海上保安庁の航行警報をよそに旅に出るかばんちゃん #kemono_friends https://t.co/ZkM0bMO5fq
244,けもフレ最終回のボス「これまでにない深刻かつ重大な驚異だよ」 https://t.co/VDIC80VyBo
247,このACコードpythonなのにすげー早いなと思ったらpythonからocamlコンパイルしてる頭おかしいコードだった https://t.co/1P7uoZoawS
254,夕立の下着っぽい！ https://t.co/SlHiJoy0n8
255,ら抜き言葉を認めるか否かみたいな話ではあるが、算用数字でなく漢数字を用いたほうがいい日本語ってのがあって、変動する何らかの数が数字部分に当てはまるものでなく単語として成立している日本語は漢数字を用いたほうがよく、例えば最上級を表す一番良いを1番良…
256,これ僕 https://t.co/1Yr4BCuu9e
258,痛みを我慢しながら走るのが美だったり「病気を言い訳にしない」みたいな価値観の24時間テレビですが、そろそろ「うつを言い訳にしない」みたいなことを言って、うつ病の人が会社に復帰する人の感動ドキュメンタリーとかやりかねないと思ってる
274,アタランテちゃ https://t.co/2nMcAP6hdw
276,お題箱投函いただきましたがアタランテちゃんはわたしもすきです描きます https://t.co/D0yIVB5CYa
277,twitter社の「サポートしたい」がどの程度のものなのかについては、全サードパーティ開発者が知っている。具体的に言うと、いきなり制限して放置し、急に「やっぱ間違いだった。信頼回復したい」と言い出してその後、放置する。
278,見るだけ！ https://t.co/SNSieutpnb
279,☆✌＞ワ・) https://t.co/cqPhmMzpVC
280,"学力テストで北海道の学力が全科目において全国平均を下回ったニュース。
道教委は授業外の学習環境の改善を求める。
木古内小学校では帰りの会のあとに２０分間の居残り学習を行なっている。
疑問しかないニュースだ。"
281,豚がそこらへんで歩いてたり店のなかを食い散らかしてるって記事をみてたからどうなってるのか気になってたけど、民家もお店も全部出入りできないようになってた。
284,福島県で原子力発電所の現状を見てきました。距離が近くなっていくにつれて建物に柵が立てられており、電工掲示板には「2.394μSv/1h」と一時間あたりの被爆量も表示されていました。仙台への通り道だからか、バスなどの車は通行証を利用してもっと奥…
285,熱盛を描いてしまいました失礼しました https://t.co/JwHNBQDk59
286,"みこっと
玉藻さんも https://t.co/m8hzPyc4OW"
287,"おっさんプログラマーが口にしがちなおっさんギャグ
・goに入りてはgoに従え
・Scalaですから
・mavenで明文化
・長いものにMackerel
・pull～ git pull～"
288,"子供「んで、材料はどうすんの」
夏休み工作代行業者「この予算ですと、プラスチックで」
子供「ハァ？やる気あんのかよ！プラじゃ子供が頑張った感が出ないだろ？」
業者「す、すいません！」
子供「ハンズで木を買ってくんだよ。血の跡とか汚しも入れろよ！」
業…"
289,こんな感じに通知が来ます https://t.co/QXcU82DHqR
290,"体罰とかツイートしてる奴おったけど、とりあえず見ろよ！！！

マスコミみたいに、印象操作するのは良くないぞ！！

先生の真剣な部分が乗ってるから！ https://t.co/XIfAMKM29G"
291,仕事と信頼と貯金と婚約者を失うことになった男の愚行( 厂˙ω˙ )厂 https://t.co/1liH2QNybR
295,元帥さまぁちゅー♥
299,"これが例のバイクの日の龍神のティッシュ配りか(笑)
心臓に悪い https://t.co/GzNzRNnghG"
303,"遺品整理業者さんの孤独死ミニチュア
センスもディテールも凄い！
製作は可愛らしいお姉さん、「現場写真だけでは伝わらない！」とのこと

ネットへアップは快諾でした

#エンディング産業展 https://t.co/yEe81GJVo6"
304,「夏休みの工作代行はけしからん！なんの意味もない！」という意見があるけど、業者の選定→要件定義→納期と価格の交渉→納品と検品、みたいなとこまで子供にやらせれば、そこそこ意味があるのではなかろうか。
305,今週は北海道に行くんだけど、「パスポート……いらない。電圧も一緒。円は……使える。ESTAもVISAも取得しないで大丈夫」って感じで、必要なもの確認してるけど何もかもいらないし、しかも日本語が通じるし、北海道すごい！！ってなってる。
312,"「これは感度が1/3000倍になる薬だ」
「それは、もしかして……」
「「鎮痛剤」」"
313,だからこういうカタチでお願いしてるのだ、、、五分で終わるから協力してほしいのだ、、、 https://t.co/JD0GjJ5iy2
314,オタク運河
315,数年前から小樽で毎年オタクイベントやるようになったのもたぶん市の職員の誰かが小樽とオタクが一字違いなのに気付いたところが出発点なんだろうな。
322,LINEの通知を複数端末で受け取れるサービス/アプリとかないのかな
323,夏休みの工作として北朝鮮に潜入して民主化を扇動する
324,拗らせキモオタクに告白の成功率はスペックじゃない、相手との親密度や性格の一致が大事だというそれなりに真実味のある説を吹き込むと、2日に一回挨拶したら返してもらえたり落し物拾ってもらえたぐらいで運命を確信するので、拗らせキモオタクには告白…
325,アニサマ入場検査が厳重になりアルコール検知器まで導入され酒が完全取締状況になった結果、コーラのペットボトルにウィスキー混入させてコークハイを作って持ち込んだりオタクが必死に検査を掻い潜り酒を持ち込もうとしてるのを見ると禁酒法が制定され裏で密…
326,"うちの息子達の所にもオファー来たけどノーギャラどころか交通費も自分持ち。
しかも夏休み全て返上しろ。
部活もやめろ。
誰が出るねん、バカにするな。
#24時間テレビ #日テレ https://t.co/Wz48xzemo4"
327,（一部の）国民的感動ポルノ「24時間テレビ」があったことを思い出しました。視聴者に感動の押し付け、出演者（芸能人）には高額のギャラ、当の出演者（素人）は絶賛ノーギャラの素晴らしい番組だったとか。チャリティの意味を知っている人間ならとてもじゃないけど…
328,昔、障がい者施設にいた筋ジスの障がい者とバンド組んで施設で演奏会とかして楽しんでた。んで日テレから24時間テレビに出演しませんか？ってオファー来て、ここぞとばかりにかっこよく「俺たちに払うギャラ全部募金してくれ」っつったら、「すみません、ノーギャラな…
329,米国人の後輩ジェフが「日本では小学校から社畜教育してませんか？」と言う為、理由を聞くと「友人の子供の夏休みの宿題、毎日の絵日記とラジオ体操、ゴーヤ観察日記、漢字算数ドリル、自由研究があるそうです。休みなのに休めない。時間外の持ち帰り仕事と同じで…
330,テレビもねえ！ラジオもねえ！車もそれほど走ってねえ！水場がねえ！人も居ねえ！どこまで行っても砂ばっか！ジイさんも！バアさんも！遺伝子異常で怪物に！自我も無く！人喰らう！化け物だらけのこの世界！食糧や！ガソリンを！欲して暴徒も襲い来る！何人を…
331,"エセ北海道民「あれ？札駅南口になまら人集まってない？」
北海道民「平日の夕方だからね」
エセ北海道民「え？」
北海道民「しかも今日は4万円か」
エセ北海道民「？？」
北海道民「奥さん！？」
エセ北海道民「奥さんって？」
北海道民「こいつエセだ！！南区…"
334,vim好きなメンバートークを特別配信
335,"❌ミスに厳しい
⭕予想外の事態に対応する能力がない
ってイタリア人のひとが言ってた"
336,TLで「日本のITの弱さはミスに寛容ではない所」という記事を見かけたけど、その通りかもしれない。IT導入でコスト削減や良質のサービス提供ができる反面、問題の影響が大きくなり易いから、ミスに対して厳しくなり、エンジニアの挑戦意欲や、失敗する事で得られる…
337,世間がインスタ映えとか言ってる中 ハイエースに男6人全日野宿で四国一周したらそれどころではなかった件。 https://t.co/3ZKHECIOFE
338,昨日、大阪府某市で橋の上で見つけたタイルのイラスト、夏を表すセミのイラストなんだけれども（四季が順番に並んでいる）、パッと見てこういう感じのヤバいおっさんのイラストに見えた。正直に告白すると、いまでもそういう感じに見える。 https://t.co…
339,バイト中に小学生くらいの女の子が「商品落として壊しちゃいました…」ってわざわざ持ってきてくれたんだけど後から来たその子の母親が「何で店の人に言うの！？」って怒鳴るし私には「それ買う気ないからお金払わないよ」って言って女の子引っ張ってお店出てったの、も…
340,加計学園が新設する大学にワインセラーがあるなんてけしからん、庶民感覚からの乖離！！とかなんとか言ってる政治家の皆さまは、開学140周年記念セレモニーで世界各国から姉妹大学学長がやってきたのに学食に毛が生えた程度の施設でレセプションをする羽目になった筑波大…
341,ツイッター凍結事件で古の個人サイト時代が戻ってくるっつうことか・・・ワクワクしてきた・・・みんな同盟組んでサーチに登録だ・・・・キリ番でリクエストして感想はBBSに・・・・
342,"けもフレあらーむを購入した百合厨の先人達「かばんちゃんがいない」「ひとりぼっちのサーバルちゃんを見るのがつらい」「サーバルちゃんの視線の先にあるのはぼくではなくかばんちゃんであるべき」
↓
ぼく「ほーん…」購入
↓
ぼく「つらい」"
346,"ギンギツネェ…
#けものフレンズ https://t.co/E5wGsSTIgw"
347,"ギン！
#けものフレンズ https://t.co/QSTsihWp0i"
348,クラスの女の子がいきなり泣き出して、先生が「どうしたの？言ってごらん」って優しく諭したら「家出る時バルサンやってきたけど、よく考えたらお父さんが寝てたかもしれない」って言って教室が騒然となった話、本当好き。
350,ところで輪厚PAって結構規模大きくね。大きいお店も食堂もあるし
351,うっ（即死）
361,共学だった女子の70%が彼氏に奢ってもらうことの方が多くて、女子校だった女子の80%がデートで割り勘にしてるって雑誌に書いてあったから、金欠の人は女子校の子と付き合えばいいんだよ
362,"おかしいな・・・早起きしたからかな・・・
#ヒロインランキング https://t.co/Worh0RzSAW"
363,早く「スーツ＝きっちりしている」という概念を取っ払ってもらいたいものだ。この暑さでスーツ着てる人が本当にきっちり物事を考えられる人かどうか。暑さにちゃんと対処してる人の方がよほど賢いように思うが。
364,「子どもの変化を見逃さないで」って大人が躍起になって首相イジメやってたら気付くわけがないよなぁ。https://t.co/CtE0fXPdel
365,"「今飲ませたのは感度が3000倍になるくすr」
「ア″！！！！！！！！！！！！！！！（口内炎で死亡）」"
368, 佐藤氏は、安倍批判の前提となる事実をすっ飛ばして、安倍批判ありきという政局的前提に立って、そのネタ探しをしているに過ぎない。だから加戸氏の発言のように安倍批判に結びつかない事実は「報道する価値がない」ことになる。
369, どういう場合に「優遇」があったと見られるかというと、本来認可されない学校が認可されたとか、対等な競争相手がいるのに合理的理由なく一方だけ認可されたという場合だが、その判断においては、認可申請の必要性や妥当性が問題にな…
370, 佐藤氏は「なぜ首相の友人の大学に決まったのか」が問題の本質だと言うが、大学の経営者が首相の友人かどうかは許認可の判断要素になり得ない。友人の大学が友人であることによって何らかの優遇措置を受けた」とすれば問題になるが、…
371,加戸氏の発言があまり報道されなかったのは、報道する価値がなかったからにすぎない。なぜ首相の友人の大学に決まったのか、そのプロセスこそが加計問題の本質だが、加戸氏が国会で語ったのは「いかに愛媛に獣医学部が必要か」という域を出なかった。http…
372,24時間TVで鉄腕DASHがお休みだなんて。チャリティ番組なのに多額のギャラが発生する24時間TVより、ジャニーズ総出で途上国に家を建て土地を開拓し海をきれいにする24時間DASHのほうがよっぽど世界を救うかもしれないじゃない。
373,失礼いたしました、熱盛のテレビ局を間違えてしまいました https://t.co/oXk10Y9oHH
374,"佐藤氏のこういう発言を見て思うのは、国民の知る権利を最も侵害していたのはマスコミだったのだな、ということ。インターネットの普及により少しずつ
風穴が開いてきたようだが。 https://t.co/anInZlzVDC"
377,クラウドファウンディングって、クリエイティヴ業界における弱者救済システムだったと思うんだけど、やっぱりいつの間にか有名人や企業が参入してきて、本来ならば弱クリエイターに回るはずの金があらぬ方向に飛んでいくようになっちゃった……。
381,ドライブ疲れるから函館新外環状線全線開通あくしろよ
383,"恵比寿駅 人身事故

痴漢冤罪
↓
駅員に取り押さえられ
↓
『間も無く電車が参ります』
↓
突然飛び出して
↓
カバンをホームドアに叩きつけ
↓
ホームドア飛び越え
↓
ジャンプ！
↓
車両先頭と衝突
=人身事故

悲惨。"
384,体育会系やら部活の顧問やらがよくやる「帰れ！」って言ってキレたあとに帰ろうとすると「帰るな！」とか言ってさらにキレるやつ、ダブルバインドってやつで、やられた子供の精神はズタズタになるので、そういう輩からはさっさと指導できる権利や教員免許を剥奪し…
385,２４時間テレビの話題だと何度でも同じ事書くけど、１９８０年の第３回は、深夜にアメリカからの衛星中継ライブでDEVOが登場して、演奏はせずPV流して、あとはただトークで悪ふざけをして、それを通訳の小林克也さんがデタラメに訳し、日本側が困惑する、という…
386,"娘の買ったラムネ。
正直、焦ってしまった。。。(-_-;)(-_-;)(-_-;)
ホンマ、大人は嫌(駄目)だね～。 https://t.co/X6la2rTnI2"
387,アニメカービィに出てくるモスガバーの歌（モスラのパロディ）歌詞並び変えると「任天堂おっきいけど　支社は神田のビル　山梨HAL研はちっちゃいな　食いもんに困るよ」（HAL研はカービィ作ってる山梨の子会社）和製サウスパークは伊達じゃない htt…
388,https://t.co/m4bDSLQKKn
392,それなりにRTされたらクソリプも来ることは覚悟しなきゃ。思わぬ視点からの反応だってあるし、いろんなキチガイがいることを教えてくれる。
394,APAホテル秋葉原駅電気街口、ドスパラパーツ館（T-ZONE）跡地に本日オープン、一階にはステーキハウス。こんなパーツの通りなんかにホテルと思ったけど、それでもコミケ時期とか満室なんだろうな。あと「電気街口」という命名に違和感あり https://t.c…
