,text
53, いえす！
125, レンタカー借りて関東旅行なう
127," 大阪いたんかw

俺だってここまで好条件なとこが宿泊当日に見つかるとは思ってもなかったよww"
152, ちょっとビザ発行してもらえるルートを教えてもらってね
203, airbnbなのでその趣旨に合ってると思います。一泊1k円だからこんなものかと
220, 幼児出来た了解
221, ueharaと東京でばったりあったから、飯食いに行こうと思うんだけどなかさんもいっしよにとう？
248, まぁドキュメントもグーグルと違ってめちゃくちゃ見にくいと思ってますし、結局開発者と仲直りしたいってのは建前なんでしょうね
252, つまり僕は間違いではなかった説…！？
257, アズアーと読んでた私よりまし
293, ｲﾔｰｰ！
300, ドライバーに限定はしてるけど、青函フェリーはあえて一般ドライバーを制限はしてないもん
306, 下品な言葉言っちゃだめ
311, ヒント:クーポン利用・弘南バス
319, ルスツ
320, まだだよ
455,  あちゃ〜北海道バージョンの頃の39パスは既に処分済でなかったです…
468,  私も北海道在住かつ北海道イオンMVユーザーだからいつもの北海道限定39パスかと思ったら全国共通でした https://t.co/mYlqcR8Tfp
469, 来ないようにしてるが報復処置としてランダムに消臭力届きそう https://t.co/cliJ61grp4
510, マクドナルド、マジで会計のときにポイントカード持ってんのか聞けだし、dカードみたいな電子マネー一体のカード渡そうが渡さまいがポイントスキャンしたのかしてないのか分かるようにしろだし、非接触カード預かるとか何教育してんじゃ一番アカンやつだろそれ
528, わかる
529, ちなみにネイティブ津軽弁は分からないです
538, FF内から失礼します。東北弁はお年寄りなどの超ネイティブスピーカーとなると他地域民同士では会話が成立不可能なレベルで大きな差異があります
539, pngファイルでエラー吐いてたので、帰宅したら当方環境でjpeg読んで試してみます
549,気に入らないが一応出来たには出来たから上げる https://t.co/8Qf0gDJZO6
550," とりあえず寝る前にネタとして作りたいものがあり急いでたので切り分けはしてませんでした。
少なくとも、python3.6環境でpillowのみをインポートしてopen()とshow()のみでコード実行しても症状再現できたとこまでしかやれてないです"
571," なるほどなぁ
1ヶ月先に先送りできる点では便利ゾ（暗黒微笑）"
652, kawaii
658, 夜もドッタンバッタン大騒ぎ！
770, それ、病院側に非があったようなもんだし、ゴリ押せばよかったのでは
783, 割とわかる（わかる）
843, はい
844, ん？
881, これは突撃訪問ですね…
886, エロ本入ってたらどうするんですか
942, 忙しかったとはいえど飯さえ食いに行けないほどではない（しかも21時頃なんてなおさら）
943, まだわかる。どてまちです
973, 電話絶対殺すマンなので✋
1001, おいやめろ
1023, 働け
1024, まぁわかる（なお仕事内容）
1045, 入りた〜い
