,tweet_id,text
4,903419851267481600,地元チェーン店に行ったらジャスコ風ようこそジャパリパークへが流れてた
7,903418008491630592,ミクちゃん10周年おめでとうございます🎂🎁🎉🍾💝
8,903417673991598080,会社のビル近辺でネズミが出る問題、ビル内のイタリアンと隣の蕎麦屋の飲食店組が〝どっちからネズミが発生してるか〟で争ってるらしいんだけど、うちの社長の言った「まぁ〜〜俺がネズミなら昼は蕎麦で夜にイタリアンだな！！」がじわじわきてる
9,903417552394522625,英人の同僚がご飯食べてたから、仏人にBon-appetitって英語でなんて言うの？って聞いたらおしゃべりクソフランス人が「直訳でHaveanicemealだけどイギリスにはnicemealなんて存在しねーからその言葉もねーよ笑」とか言ったせい…
10,903416752209510400,日本大好きしょっちゅう行ってるって外国の監督や漫画家さんが、自作の日本風景をわけわからん中華ミックス都市にしたり変な謎漢字看板出したりしてて、コメンタリーとかで「違うのは分かってる！でもこういうエセ日本じゃないと受け入れないアホがいっぱいいるんだ！！…
11,903416582579171329,ミサイル発射の対応が早かった事について、菅官房長官「２年前の特定秘密保護法、マスコミから極めて評判の悪い法律だった。情報漏洩をした場合、日本は最大懲役１年で情報が来なかった。法律成立してから機微な情報が我国に入ってくるようになった」メディア…
13,903416073826865152,完全に壊れた🤤明日から夏コミが開催
16,903398239801458689,夏休み始まる夏休み終わる
79,903126258782896129,ということで、2週間という怒涛のスケジュールの中、総走行距離5413kmの日本一周旅は無事最終目的地函館まで辿り着くことができました。しかしレンタカーを返す際に予想外のアクシデント発生……!?（たっつー）
81,903125960056160256,従業員同士の私語が気になると御意見を賜ること、全国のコンビニでよくあるんですが、「唐揚げ、いくつ揚げれば良いですか？」「この時間帯ですし、5つ揚げましょう」と業務連絡を交わしたら、「私語を慎め！」とお客様に激怒されたので、バリアフリーも兼ねて筆談…
112,903061416923430914,今回のミサイル発射に対する与党と野党の対応。6時半現在野党は寝てんのか？
113,903060965163274240,タケシ&amp;カスミ再登場おめでとー！
130,902879422511849474,Jアラートで頑丈な建物に逃げ込めって言っても、頑丈な建物が無いってツイが回って来るけど、原爆にも耐えた銀行の堅牢さは「この世界の片隅で」で証明されてるから、とりあえず緊急時なら逃げ込む価値はあるんじゃないのだろうか…？
131,902879141787140100,お母さん「ツイッターに上げて」
132,902879100011921408,"学習院大学のヤリサーが「書道部」なの、いかにも""""学習院大学""""っぽくて最高じゃないですか？「皆さんごきげんよう、本日も筆を握らずに竿を握っていきましょう、おほほほ」みたいな慎ましい雰囲気でおっ始まるんですかね？"
165,902753023398699008,マギレコに興味のある方に向けてマギアレコードのシナリオモードにおける勢力図を描きました。(大嘘)単にレズ角関係描きたかっただけです。
168,902743482200154112,同僚女性「ゆずソフト良いですよね」私「はい！？」同「私大好きなんですよ？ゆずソフト」私「（おいおい、この人なに言ってるの？）」同「あれ癖になりますよね？」私「そんなに良いんですか？」同「えぇ。あそこのソフトクリームは最高ですよ？」私…
174,902718093100687360,函館にロケット落ちて道路一度吹き飛ばして綺麗に敷き直してくれ
175,902718049802792960,「イリヤかサーバルちゃんがアラームで起こしてくれるはずだったのに、金正恩がミサイルで起こしやがった」はさすがに草
176,902717650286985216,¥800で格闘ゲーム買ったらバグってた
177,902717180030025728,【速報】対抗措置として安倍首相発射
178,902716861833371648,バイキングの「官僚が下を向いた瞬間を切り取って『居眠りだ』と騒ぐ」手法がとても斬新だと思ったので、僕もバイキングの動画から出演者が同時にまばたきした瞬間を認識して出力し続けるプログラム書いてみました。切り取り報道ってやる側は楽しいんです…
