,tweet_id,text
53,903186022372065280,いえす
125,903045664774303744,レンタカー借りて関東旅行なう
127,903031164184563712,大阪いたんかw俺だってここまで好条件なとこが宿泊当日に見つかるとは思ってもなかったよww
152,902809283326230530,ちょっとビザ発行してもらえるルートを教えてもらってね
203,902640484333494272,airbnbなのでその趣旨に合ってると思います。一泊1k円だからこんなものかと
220,902439855325495300,幼児出来た了解
221,902436958596546560,ueharaと東京でばったりあったから、飯食いに行こうと思うんだけどなかさんもいっしよにとう
248,902267748977319936,まぁドキュメントもグーグルと違ってめちゃくちゃ見にくいと思ってますし、結局開発者と仲直りしたいってのは建前なんでしょうね
252,902179096251138048,つまり僕は間違いではなかった説
257,902153320520859648,アズアーと読んでた私よりまし
261,902134055461822465,JS
293,902110319148843008,イヤーー
300,902085012664705024,ドライバーに限定はしてるけど、青函フェリーはあえて一般ドライバーを制限はしてないもん
306,902083863467327488,下品な言葉言っちゃだめ
311,902082445234790401,ヒントクーポン利用弘南バス
319,902039367589421061,ルスツ
320,902039269522292736,まだだよ
455,901585834146533377,あちゃ〜北海道バージョンの頃の39パスは既に処分済でなかったです
468,901471499017535488,私も北海道在住かつ北海道イオンMVユーザーだからいつもの北海道限定39パスかと思ったら全国共通でした
469,901470178935844864,来ないようにしてるが報復処置としてランダムに消臭力届きそう
510,901336333641170944,マクドナルド、マジで会計のときにポイントカード持ってんのか聞けだし、dカードみたいな電子マネー一体のカード渡そうが渡さまいがポイントスキャンしたのかしてないのか分かるようにしろだし、非接触カード預かるとか何教育してんじゃ一番アカンやつだろそれ
528,901253167559487488,わかる
529,901231817302228993,ちなみにネイティブ津軽弁は分からないです
538,901229083253587969,FF内から失礼します。東北弁はお年寄りなどの超ネイティブスピーカーとなると他地域民同士では会話が成立不可能なレベルで大きな差異があります
539,901225829086015492,pngファイルでエラー吐いてたので、帰宅したら当方環境でjpeg読んで試してみます
549,901112211329830912,気に入らないが一応出来たには出来たから上げる
550,901110896629395456,とりあえず寝る前にネタとして作りたいものがあり急いでたので切り分けはしてませんでした。少なくとも、python36環境でpillowのみをインポートしてopenとshowのみでコード実行しても症状再現できたとこまでしかやれてないです
571,900927705079619584,なるほどなぁ1ヶ月先に先送りできる点では便利ゾ暗黒微笑
652,900692333649211392,kawaii
658,900681528400687104,夜もドッタンバッタン大騒ぎ
714,900348142654152705,たけのこは真理。たけのここそ全て
770,900192539797475329,それ、病院側に非があったようなもんだし、ゴリ押せばよかったのでは
783,900017754274643968,割とわかるわかる
843,899659319691558913,はい
844,899659192964743168,ん
881,899620659885596672,これは突撃訪問ですね
886,899619436704833536,エロ本入ってたらどうするんですか
942,899265726183161856,忙しかったとはいえど飯さえ食いに行けないほどではないしかも21時頃なんてなおさら
943,899265727659507712,まだわかる。どてまちです
973,899241525455880192,電話絶対殺すマンなので✋
1001,898957451998904320,おいやめろ
1023,898932117366648832,働け
1024,898932057203654656,まぁわかるなお仕事内容
1045,898927744741851140,入りた〜い
1048,898927146382442496,めでたい👏
1050,898926483397238784,寝る
1053,898926124184383488,留年したってその時間で別のことを勉強できるか何もしないか、そういうもんだと思うんだ。
1057,898925678728327169,おっしゃる通りじゃ、
1058,898925559152902145,いや、知らんけど
1126,898886975242895360,な、なるほど
1128,898884159040479232,わかrいや分からない
1174,898598813664919553,「ずーしーほっきー」でおググりください
1189,898565441232060416,クソデカサービスエリア一覧あったので参考にどうぞ
1190,898561965068398592,有料だけど時速120kmくらいで走らないと眠くなるレベルのクソ広くて真っ直ぐな道路とか、普通にショッピングモールのようなサービスエリアとかあるし、サービスエリア跨ぐ区間だけでも金払って乗ってみれば
1192,898560772896313344,そういえば、本州の高速、北海道の高速よりダントツにスペック高いから、是非名古屋周辺走るときは新東名とか新名阪通ってみるといいと思うよ
1193,898559141047746562,おう、
1198,898558058497843202,普通に草wまぁ他に人載せてあの道走るのは普通につらそうそんな道ばかりを攻めるドライブをインターン前にする予定
1225,898481537821298690,分割できるならレジでカード通してだめならレジでエラーになるし、オッケーならそれで決済出来たってなるし
1226,898480958155874309,騙されたと思ってこれらの要件を全部コールセンターのスタッフに伝えなさい
1227,898472721444503552,三井住友は使った事ないからわからんリボ設定外したらだめなの
1228,898471981313441793,カード会社による。全リボ設定してても分割OKのとこは分割払いにするとリボの対象から外されて、リボの額分割額となる。分割手数料無料とかでなければリボの額を変えたほうが楽かとは思う。事情がわからんけど
1229,898471090959155202,なになに
1243,898329919670763524,だから止めたんだよ
1244,898329827861712898,これだよ
1276,898187139850018816,なるほど50点
1280,898186435773186049,どのフレームワークがいいかわからなかったのでとりあえず速度は置いといて高性能そうなdjangoならなんでもできるからええやろと思ってたけど調べたらチャットボット用バックエンドならflaskのほうが良さそう
1285,898185038201733122,交通費宿代全部出してもらえるインターンに1社には参加したので
1289,898184485719515136,報酬5万で宿もやりくりしなきゃだめなのでなかさんもそうしてる
1291,898184131690979328,渋谷からいつもの南千住は遠すぎる
1300,898173454137966595,でしょー明日着てくぞ
1301,898173456457490433,まぁそうなんすよね。金をかけるべき場所がわからないみたいな
1318,898148603427827712,中学の時の西暦を考えろ
1319,898148478542426113,当時は安くはならんかったです。ディズニーリゾートラインでSuica解禁された年ですよ
1323,898147061371031552,家計的に貧乏らしく、その辺の考えが出来んのです。究極の貧乏人は逆に買いだめとかして近い将来のことすら考えられなくなるんです。ってどっかに書いてた
1359,897848416125952000,確か未来大の坂を登る前のt字路信号機は小糸製
1362,897846745492627460,北に来たw
1371,897841361767940096,ガラホからニコ生チャレンジしてましたサウンドオンリーでカメラが上手く機能しなかったので没
1389,897807301758795781,白川郷行くなら、白川郷の帰りに白山スーパー林道ってとこ通るとイイゾ。めっちゃ景色いい。ただ、その予定だと時間的に難しそうだけど
1393,897805634426425344,なるほどその解釈もできるビットコインを当時の相場で4000円≒4k分買ったものが何故か倍の8000円≒8k相当まで価値が上がってた話
1407,897786708330135552,主流ではないがミニストップと同様に店舗数が少ないがゆえの熱狂的ファンが割りといるコンビニ。雰囲気的にはホットシェフのないセコマに近い感じ。パンが期限近くになると値引きされる
1413,897771523678674944,おう。気をつけて愉しんで😎
1414,897771078142918656,貧乏学生だし仕方ないねゲーセン周りはただの都道府県称号獲得のため
1415,897770290469457920,インターン前の2日を使って車中泊しながら東京北部発高速道路不使用、酷道299号経由で小諸市、土合駅、日光いろは坂、栃木と茨城のどっかゲーセンを回る予定です。
1418,897769141003624448,仕方ないね
1421,897768142742499328,自分で招いたことなんだからリボにして、後は支払い終わるまで金使わないことだな
1425,897673314566643712,計算するより、翌月までに返すことの方が重要。1ヶ月だけなら手数料はそこまで掛からない。
1426,897672611534131200,リボ
1447,897662745109295105,esじゃだめですか
1449,897641085849264129,でも日光いろは坂ドライブもしてみたいので悩む
1462,897480789448728577,フロント触るなら避けては通れないし多少はね
1463,897479978186547200,どんな用途に使うのか分からないからあれだけど、アバウトな位置情報でいいならwifiとか3Gの電波基地局から位置推定するAPI使えばいいのでは
1464,897479716231417857,webpack使います
1482,897462412315467776,これじゃない
1483,897461718292484096,グーグルマップ関連でなかった
1493,897452182693335042,なるほど
1500,897449121862307840,なるほど
1504,897447470392680448,え函館いたんですか
1509,897431192978325504,知ってた
1510,897430228494016513,スタイリッシュなUI、gitとの連携、プラグインインストールが簡単。エディタの統合コンソールでエディタを開きながらコマンド実行。各種lint補完プラグイン完備。フォントも選べるよ
1514,897429130043510784,vscodeを使う
1517,897428487958429698,わかるんです
1537,897422885123379200,わかる。ツッコミ入れたくて仕方なかった
1626,896632319917740032,ここは弘前の中三百貨店。青森駅前にもある
1629,896630367058223105,え弘前市民なのに行ったことがない驚き父方の親族の墓がここにある寺並感
1630,896629553623322624,なかさんなかさん行って「なかさん来たw」ってツイートしてなかさん
1633,896625798819401728,なかさん
1692,896326559572742144,MCMRって言うのはね、MisoCurryMilkRamenの略だよ
1712,896299003259658240,ちょっと別のページをゴニョゴニョした時にブログの設定も直さなかったから起きてるくさい。あとで直します
1747,896208786418843649,需要しかなさそうですもんww今度東京行ったとき買いたい
1756,896205777140039680,他の方も言ってましたが、やはりそういうことなんでしょうねぇ。一般のpixivIDを持ってない人にとっては、特になんの登録もせずに直接カードが使えるSquareはそんな購入者にとっては便利だと思うんですがねぇ
1833,895891703642509313,ウニャを食べてウニャウニャ
1834,895891522423406592,ウニャウニャーン
