,text
1,ハチ公口とか言われてもわかんねぇよ！東と西どちらだ
2,函館組渋谷に集結しすぎでしょ
5,頑張って一本前に乗るべきだった
6,ちょっと風呂にあずましく入りすぎた。渋谷駅到着してからビルに向かうまで5分しかないようだ
12,くれちゃん壊れた
15,地味に今出発してった日比谷線車両、新型では
17,ノー人権トレインはつら
20,寝る
21,何がやばいって、中国人だらけそう（）
22,上野のヤバそうなカプセル
23,もう3時かぁ
24,やはり東京馬鹿なのか
25,東京のタクシーだけ謎に迎車料金みんな取るけど、それ廃止して徘徊タクシー99割削減すれば経済的にも環境的にも客的にもタクシードライバー的にもプラスしかなくないか
26,はー東京タクシー多すぎる
27,見た目からして美味そうだと思ったけど、やっぱりうめぇ
28,へっへー晩飯飯テロ https://t.co/AgYdbxaKve
30,帰路につきます
31,こちらもdone https://t.co/GrERSpNuk9
32,done https://t.co/SBx8t0ZJVu
36,ところでノートカーブの安定性良くないですか
37,にしても、外部メディアもゴミ箱行きされて、自動削除されないマッククソ。
38,でも、満足…
39,いろは坂、唐突に始まって焦ったし、走ってみたら案外距離短くてかなり拍子抜け
42,グンマーを出国します https://t.co/gbkG5FeACF
44,いろは坂かな
45,"今から高速に乗ると2時間は佐野サービスエリアで用事作る必要がある。
今からいろは坂に行くと夜のいろは坂を楽しみながら、栃木称号をゲットできるが、帰りが2時頃になりそう"
48,悲報　まっくら https://t.co/0WyqUDsR0w
49,は？ https://t.co/lIEaX7RKfB
51,ライブ切れたけど着いたよ https://t.co/392ShkuOCU
54,上り列車が来たので急いでたので撮りに行った。あくまで記念撮影なのでちゃんと撮れてるかは知らない
55,ほああすげぇ！ https://t.co/lfCOf8JvMA
56,先に近いホームからいくか
57,なんだこれは… https://t.co/gXH86uHgyP
58,新型のacure自販機が置かれてたり、新型のLED案内板が設置されてたりする辺、今も生きてる駅なんだなと感じさせます。JR北ではここまでやらない・やれない https://t.co/GPezTnJvMj
59,雰囲気はもはや廃墟そのものですが　（続く https://t.co/or8EuboA0c
62,残念でした。マイカー規制です https://t.co/aOA9DhSx8k
66,道の駅なのに道路情報見る場所ないんだが
69,素材 https://t.co/CAVlTFqobf
71,鉄道まで付け替えたんだなぁ。そして鉄道跡が工事道路に転用されてて興味深い
72,貯水量めちゃくちゃ多くないですか https://t.co/Y0UvfqcDoc
74,それでも30分しか伸びてないあたり考えればまぁ早いか
75,北海道なら90分で辿り着く距離なのに
76,この長い〜長い道のりを〜♪ https://t.co/izWZQRQJOp
77,帰りは深夜割引を活用して高速を使う予定
78,このあと100km下道を更に走ります。次の目的に行くにはここからだと下道しかないのである
80,つるっと美味い！
82,きしめんの比じゃない https://t.co/qpkzJeS5HM
83,食ってみた過ぎて2杯目頼んだ。ひもかわうどん https://t.co/zmHbuByyCw
85,昼飯いただきまーす https://t.co/pJGckIfcCJ
91,"私は今、神より力を授かった！

&gt;&gt;&gt;&gt;位置エネルギー&lt;&lt;&lt;&lt; https://t.co/QTgS62tkjy"
95,出発します https://t.co/eUXpc5cWmQ
96,長野側も長野側ですごく景色きれい https://t.co/07oA6FomIi
97,ちなみに実際は日本国政府がグンマー政府に許可を得て設置してると思われる雨量観測所です https://t.co/3P4IlS43QH
98,まずいものを見てしまったかもしれない…グンマーが設置している不法入国者監視装置のようだ…射殺されてしまう…短い人生だったよ… https://t.co/dkwZQTj1RV
99,グンマー、やはり未開の地のようで、自然に溢れているようだ https://t.co/KV3gg9Ox09
100,グンマー現地の民が記したと思われる看板 https://t.co/pPoHTlodFT
101,auとドコモだけ通信かろうじて可能 https://t.co/7hJ82Eyfbj
102,グンマー国境に到着。 https://t.co/yiXVOZYd3D
105,気をつけなきゃ…自省します
106,トラックがあまりに道譲らずとろとろ走ってるのに腹が立ったとはいえ、やってはいけない走り方をしてしまった…
107,もう少しで事故るところだった…
110,このソフトクリーム…ｳﾏｲｯ!
111,はちみつソフト https://t.co/W0HmtLlgNU
114,そういえば温泉大好き狐先輩は草津来たことあるのかな
115,温泉卵いただきまーす https://t.co/2rycq2wVqF
116,おう酸性だ温泉酸っぱい
118,土産にしよ
119,饅頭うめぇ…あんこのこう甘さとかの加減が絶妙だ…
120,足湯で温泉って感じのものを食す https://t.co/FnfrB7SH13
121,"極限環境微生物の草津の藻だ（）

この藻は草津の温泉でしか生きられない、でも常識的に考えて他の生物はこの環境下で生きられないので生存環境を独占できるのだ https://t.co/OHVeAUQUeg"
122,知らんけど
123,温泉の滝♨ https://t.co/16pEDNQvzb
124,イチャイチャ https://t.co/DV5UMPOTxV
128,深夜割引にギリギリ掛かるようにSAでひまつぶします
129,"明日行けるか知らんけど行くかもしれないとこ
・草津温泉源泉
・グンマー国境
・国道最高地点
・白根山展望台
・土合駅
・清水峠点線国道入り口
・いろは坂
・日光東照宮

日光を22時前後に埼玉方面へ向け出発が理想"
133,"貸し切り温泉とか神かよ〜
これで3kは安すぎる https://t.co/UOgKwMbOix"
134,"軽井沢で草津温泉の宿を予約して今来たww
泊3000円でこのクオリティすこ https://t.co/WBW44VVQfG"
137,ぼっち飯！ https://t.co/yiN63xiOAT
138,おもしれぇ！明日レイクタウン行くかwww
139,イオン幕張新都心を経験しててもこの巨大さはぎょっとする
140,"完全にRPGのダンジョンそのもの

クエスト「フードコートへ向え」"
141,目眩がする https://t.co/m4pnI5EnSE
142,なんやこれ https://t.co/MkVGnsK9U9
143,ジャイアントとかビアンキのアウトレットストアもあったりして
144,来た目的は簡単で、夏待ちの聖地巡礼なわけだが、どこ？店が続くよunlimited
145,今視界に映るこの店だけで1割あるかないかなんじゃないかな。なんか裏通り（？）にも大量に店並んでたの見えたし https://t.co/00dwkBZmBr
146,や、マジでこれなん店舗あるの。500店舗あるんちゃう
150,さて、今日の宿の確保をせねば
151,とんでもねぇ休憩所だ…何があれって、筐体のチョイスが… https://t.co/yf52R8HHP0
153,いい雰囲気 https://t.co/pdfa08WHc3
154,すっご〜い！君はキーコーヒーの喫茶店のフレンズなんだね！ https://t.co/43fbeSck4j
155,ゆうさく https://t.co/TUQ0pgAOpG
156,スタッフルームと化した元社宅 https://t.co/G3OrY2fllC
157,ガイド https://t.co/7cQwla7Nnl
158,何が言いたいかというと金おろし忘れて5ふんかけて通った道また戻ったよ
159,入場料1000円取る割に、カード非対応、しかも前売り券売ってる物産館まで非対応。これ要改善でしょ
163,十石峠チャレンジを諦め、観光地巡り巡ってさぁルートでいきます
167,首都圏下道を車で回ってるが、いくら免許持ち5人いるとはいえ、よくあのハイペースで回ったなぁと
169,風呂上がりのコーヒー https://t.co/zzNiRak3yR
172,てか道内基本舗装きれいなはずだし、ひどいの函館周辺だけでは
173,ワインディングロードでも函館より舗装がキレイな本州です
181,若干ｬ飯 https://t.co/aIHokvauLC
187,通信死ぬまでキャス再開 https://t.co/qUC4F8kQsE
189,今日の宿は長野にしようか
190,東京都水道局🚿 https://t.co/4SNQL0bPEj
191,すんげぇのどかなとこだけど、ここ東京都内なのよな
192,おまんこ https://t.co/h0umLj9Btu
193,https://t.co/XmNq6ddkr4
194,にしてもｱﾂｩｲ!熱盛ｨ!!
195,東京の水瓶 https://t.co/1Y4NLFXLRQ
198,おーきれい https://t.co/aLJU8ouj4L
204,最高のロケーションだと思うじゃないですか。東京都内です https://t.co/zCrUKOScuE
205,ぽきた
206,back to the past（今日のホテルです） https://t.co/XsBIzM2jrk
207,寝る
208,大都会 https://t.co/3u9E4fxQpQ
210,Back to the future https://t.co/sVs2Du942e
211,なんか風流。インスタ映え（だから何） https://t.co/b8pA6A9x6Y
212,思わぬフルーティーさと海鮮だしの効き具合に度肝を抜かれた
213,ツナコツラーメン https://t.co/QZ7IIOrlnb
214,完飲 https://t.co/HwbvqEJT31
215,可愛い https://t.co/SRqOd7wpr7
216,インスタ映え https://t.co/I6EJ1zUnyt
217,腹減ったーー https://t.co/Lz19k0WsX4
219,ゆるぽ:東京勢飯食いに行く人
221, ueharaと東京でばったりあったから、飯食いに行こうと思うんだけどなかさんもいっしよにとう？
224,インドカレー https://t.co/Hy9q9M7QPb
234,朝から何も食べてないのにこんなに出歩いてマジで死にそう
235,食べログ、今開いてる店だけを出せ
236,調べて行くとこ行くとこの定休日・臨時休業・営業時間外で頭にきますよ〜
237,カフェニキ https://t.co/gMF0O4AvEC
238,日本語が出ないオーロラビジョン https://t.co/0D00F5cJaw
240,なんでサツドラなのに東京にあるん？ https://t.co/2RtVoh7pzo
245,無限に練りをします。ぽやシミ
249,佐野サービスエリア上り、初めて降りたかも
251,たろすと俺で何故か戦車道やる夢見てた。めっちゃ熱かった。続き見たくて目が冷めてしまった。不覚。
253,青森人民輸送装置に乗り込んだ
271,"freetelくんやればやれるじゃん。これくらい出れば十分。
一方nuroSimはこれの100分の1 https://t.co/WeCDWJdBeC"
272,グーグル君消えて https://t.co/lVpKturdTU
273,ガラホの待ち受けにしよ
275,は、速い…
282,ありけん一行の日本一周、的を得てていいと思う
283,なるほどなぁ
292,freetelがんばえ〜 https://t.co/6VzHcPIrFS
294,ガジェオタなので唯一つながるドコモ回線でネットやってる https://t.co/mpQq4qwi4K
296,おめーらフェリーの雑魚寝の使い方もわからねぇのか。わからないなりにサイドに固まって寝ろ。
297,dアニメで配信しろ。 https://t.co/bpnoPkkHSE
298,"https://t.co/J9CzXk9oQc

プリンセスプリンシパル、評判いいらしいけど何故か俺の見るサイトで見当たらないなぁと思ったら、今時こんなレガシーメディアでしか配信ないのはクソでしょ…なんでアニメ配信大手dアニメもnetflixもなし、アマゾンビデオは有料の方かよ"
301,自転車部新部長の部屋のミニチュアだ！！！
302,これ4枚目見たことあるぞ
307,青函フェリーの方がジャンク感あって、セルフ感あって好き
308,ドライバー室自由に使えないのも良くない
309,"ﾁｬﾗﾗﾗﾗﾗﾁｬ〜ﾗｯﾁｬ~♪
ご乗船のお客様へご案内いたします"
310,青函フェリーの方が出発アナウンス好き
316,脱北者向け上京許可証 https://t.co/GssdrEOqYH
318,MSP使えますか！！？？？？ https://t.co/yAiuqgdbL0
321,そもそもLINEが複数端末対応にすればいいだけの話
332,俺が下宿出発すると、下宿にいるの3人だけになるのか
333,あーあとこ2時間で出発か〜（はなほじ
343,"午後1時
お腹が空いた
5000兆円"
344,なおターミナルでgitコマンドでリモート弄るときに面倒なのでSSHで使ってる、が故にGUIからpush/fetchできない
345,コミットする時だけGUIでやってる（エディタで済ませちゃうせいでコミットコマンドの使い方がわからない）
349,最近リニューアルされたもんそりゃ
352,nanoじゃだめnano
353,こりゃ海の向こうでバーコード決済が流行るわけだ
354,めっちゃ便利やん
355,下宿飯なかったので、過程はすっとばすがローソンで楽天ペイしてきた https://t.co/6xVE84tchH
356,どちらにしろ産業道路の停留所前にバスレーン付けろ
357,だいたい新外環を無料にしないと産業道路の代替バイパスとしての機能が損なわれて意味なくなる説
358,ラも含め時給上がった。が、ラはそもそもの時給が低すぎた
359,え、時給上がらない職場とかあるん？？www
360,新外環、新直轄方式だし、道道の番号振られてるし無料のままでは
366,だいたい日本の左翼リベラルって左翼じゃないしただのバカ
367,安部政権ただただ批判してる左翼リベラル、だいたい日本の癌なのではよくたばってくれ
375,これがFF外から失礼するクソリプマンの心理なのかなぁと思った
376,これの問題、本人は話に混ざりたくて話途中で混ざってきてたんですよね。なので旅行関連の話なのかなと誤認したと思われるんだけど、それでも話の内容わからずに会話に乱入するなよ https://t.co/pjRjIDm6po
378,少なくとも、大きい交差点に左折専用レーンを設置する、バス停前にバスレーンを作るだけでかなり流れスムーズになるはずなのだが
379,マジで産業道路、あんなクソみたいな作りになったのか小一時間問い詰めたい。青森市内なんてもっと道路広いぞ
380,これ
382,痴漢冤罪で通報した人も痴漢した人と同じ刑罰受けろ
389,流石におめぇいつもいつも論点ズレ過ぎなんだよアホと返してしまった
390,ブーメランかもしれないけど、それでもね、「東京みたいな大都市って持ち物忘れても現地調達でなんとかなる」って話に対して「そうですね。旅行ってリフレッシュになっていいですよね」って返されるんだから。今年の一年生下宿民ですよ
391,いやぁ。実際にいるんだよなぁ。思わぬ目線からコメントする人。悪く言えば論点が全くわかってない人
393,東京のホテル需要高いからな…秋葉原のあんな立地、一瞬で埋まりそう
401,さすが若者目線
402,ラーメンも貧乏の象徴感あるかもだけど外食ラーメンは今では普通に1k円近くするし高級品
407,やねる
421,ファーストロードで表示されるべき要素以外のcssをbody最後に読ませてる
422,御徒町と代々木は各地でパクられてそうだし実際そうだけど（地元がそう）、日暮里はあまり聞かない気が
429,わかりみのふかみ
432,付いてけばよかった
439,安い理由
461,熱盛りダッシュボタン押したときに画像と音がリンクして動くようになったら、ランダムに謝罪音声入れたい
462,すみません。熱盛りと出てしまいました
467,なにげに先月の39パスも全国共通やん。ﾜｰｲﾔｯﾀｰ
470,熱盛りダッシュボタンのせいで下宿ネット死んだ？w
471,まぁいいかw
472,あ、pushするの忘れたからリモート古いままだ
473,"ちなみにこれ、熱盛り！！！のあとの画像出るまでタイムラグがあるのは単純に使ってる音声の最後にほぼ無音の部分が長すぎるだけなので、音声編集かけるだけで直る問題。

そもそもマルチタスク化して音声流れる直前に画像表示ウインドウ生成タスクを動かせばいいだけの話でもあったり https://t.co/I3zoSLeERk"
474,無能AI（笑）がどうでもかんでも凍結していく。二郎店舗特定bot然り絵師さん垢然り
476,"昨日より進化した熱盛りダッシュボタン

https://t.co/FPONca7Cvg https://t.co/3otwvd9qIM"
479,津軽弁だと略称べがべが
480,終末なにしちゃべが？忙しくちゃべが？救ってけねべが？
482,一方日本マクドナルド
485,こんな狭いならトイレ・バス共有でいいんだよなぁ
497,こういう本気でバカやるのホント好き
502,マジでてめぇ教師やめろって言いたくなった
503,"何がすごいって、客先でwinXP使ってる人は、90代のお年寄りとかを除いて古いパソコンだとかセキュリティやばいのを承知の上でだましだまし使ってるとこが殆どなのに、4,50代のBBA小学校教師がwinXPってなにそれ？え、これ古いんだ、へぇ。みたいに使ってて身震いしたよね https://t.co/ElGZ2OTtCK"
504,そんなのに対して教える教師がほとんどネット使わない、ユーチューバーを知らない、winXPを古いパソコンとかセキュリティやばい自覚なしに使う。そんなのだからもうこの国は終わり
507,楽しい楽しい残業💃💃💃🕺🙋🙋
508,マックの場合、なんでカード渡したくないかと言われると、何よりポイントスキャンされずに意図しない方法で決済される可能性があるから怖いんだよ。特にドライブするーなんて恐怖そのもの
509,そして函館ドライバーは左右に曲がるなら車を左右に寄せろ。なんで左に曲がるのに右に車寄せるんだバカか
510, マクドナルド、マジで会計のときにポイントカード持ってんのか聞けだし、dカードみたいな電子マネー一体のカード渡そうが渡さまいがポイントスキャンしたのかしてないのか分かるようにしろだし、非接触カード預かるとか何教育してんじゃ一番アカンやつだろそれ
511,マクドナルドもドライバーも道もすべてがくそで感情が無になる
513,ああああ https://t.co/Utl12JnDW1
521,欲しい
533,イオンは未だに即発はプロパーオンリーですので
534,発行業務してましたね
537,南部弁と津軽弁で会話が成立しないぞ
540,いっすねぇ
545,音声出るだけのほうがまだ面白いな
547,寝るぞ予定より時間過ぎた
548,pyaudioのストリームを止められない止まらないかっぱえびせんなので無限に熱盛と言ってしまうbot作りたいのに出来ない
555,アマゾンダッシュボタンを押すと熱盛と出てしまうシステム
559,2人SAISON
